Chris Greenhalgh,335,,,,,,,,,,,,,
Daniel J. Weitzner,335,,,,,,,,,,,,,
Domenico Talia,335,,,,,,,,,,,,,
Mihir Bellare,335,,,,,,,,,,,,,
Ulf Leser,335,,,,,,,,,,,,,
Vince D. Calhoun,335,,,,,,,,,,,,,
Amotz Bar-Noy,334,,,,,,,,,,,,,
Andreas Holzinger,334,,,,,,,,,,,,,
Hans L. Bodlaender,334,,,,,,,,,,,,,
Jie Tang 0001,334,,,,,,,,,,,,,
David D. Clark,333,,,,,,,,,,,,,
Jeannette M. Wing,333,,,,,,,,,,,,,
Sanjeev Arora,333,,,,,,,,,,,,,
Andreas Krause 0001,332,,,,,,,,,,,,,
Bernhard Nebel,332,,,,,,,,,,,,,
